VIN (1-10),County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location
5YJ3E1EB2K,King,KIRKLAND,WA,98033,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,48,478724459,POINT (-122.188994 47.678406)
5YJSA1E43L,King,SEATTLE,WA,98102,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,337,0,43,112305420,POINT (-122.321673 47.634289)
JTDKARFP4J,King,BELLEVUE,WA,98004,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,27300,41,209061975,POINT (-122.20316899999999 47.619011)
JN1AZ0CP1B,King,SEATTLE,WA,98118,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,32780,37,180648065,POINT (-122.275593 47.54055)
1N4AZ0CP8F,King,REDMOND,WA,98052,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,45,325675787,POINT (-122.122018 47.678465)
5YJXCAE2XL,King,SAMMAMISH,WA,98075,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,41,124540307,POINT (-122.028168 47.586173)
1G1FX6S04H,King,KENT,WA,98030,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,47,175642190,POINT (-122.19538100000001 47.369696)
1N4AZ0CP9D,King,SEATTLE,WA,98103,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,43,226673961,POINT (-122.343577 47.672491)
WBY8P6C58K,Snohomish,BOTHELL,WA,98021,2019,BMW,I3S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,44450,1,332188048,POINT (-122.21210499999998 47.792368)
KNDJX3AE8H,King,SEATTLE,WA,98118,2017,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,37,139436888,POINT (-122.275593 47.54055)
1N4AZ0CPXD,King,SEATTLE,WA,98178,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,37,191419308,POINT (-122.249664 47.49744200000001)
1N4AZ0CPXE,Snohomish,EDMONDS,WA,98026,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,28980,32,246184466,POINT (-122.33304600000001 47.829439)
1G1FY6S04K,King,SEATTLE,WA,98107,2019,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,36620,36,296975066,POINT (-122.375438 47.667804)
5YJ3E1EB4L,King,BELLEVUE,WA,98004,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,41,115538335,POINT (-122.20316899999999 47.619011)
5YJSA1CN2D,King,SEATTLE,WA,98115,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,46,2580686,POINT (-122.297534 47.685291)
5YJ3E1EA7L,King,SEATTLE,WA,98107,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,36,1934950,POINT (-122.375438 47.667804)
5YJYGDEE8L,San Juan,FRIDAY HARBOR,WA,98250,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,40,131641030,POINT (-123.084302 48.544106)
WA1VABGE0K,Clark,CAMAS,WA,98607,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,74800,18,307558884,POINT (-122.40849800000001 45.620943)
1N4AZ1CP4J,King,BELLEVUE,WA,98006,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,41,474882838,POINT (-122.151342 47.560192)
5YJYGDEF1L,King,REDMOND,WA,98052,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,45,104179330,POINT (-122.122018 47.678465)
KNDCD3LDXK,Snohomish,BOTHELL,WA,98021,2019,KIA,NIRO PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,28500,1,141242937,POINT (-122.21210499999998 47.792368)
5YJ3E1EB2L,King,NORMANDY PARK,WA,98166,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,33,110954840,POINT (-122.34939400000002 47.455070000000006)
1N4AZ0CP4D,Snohomish,EVERETT,WA,98208,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,44,327948176,POINT (-122.19615 47.894423)
5YJYGDEE5L,King,SEATTLE,WA,98112,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,37,110780596,POINT (-122.296466 47.631708)
KNDJX3AE2G,Island,COUPEVILLE,WA,98239,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,10,350173652,POINT (-122.66309299999999 48.194534)
1G1RD6E44E,Snohomish,EVERETT,WA,98203,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,34185,38,231310908,POINT (-122.227707 47.943014)
5YJ3E1EB5K,King,RENTON,WA,98058,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,11,477203415,POINT (-122.137386 47.444808)
KM8K53AG7L,King,NORTH BEND,WA,98045,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,5,124737882,POINT (-121.668459 47.426482)
1N4AZ0CP3D,King,BELLEVUE,WA,98008,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,48,117809177,POINT (-122.117365 47.609515)
5YJ3E1EA4L,King,SAMMAMISH,WA,98075,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,41,104284218,POINT (-122.028168 47.586173)
1G1FX6S0XH,King,REDMOND,WA,98052,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,45,106524309,POINT (-122.122018 47.678465)
5YJ3E1EB0L,Pierce,LAKE TAPPS,WA,98391,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,31,5000782,POINT (-122.170798 47.184615)
WBY8P2C58K,King,REDMOND,WA,98052,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,44450,45,117972606,POINT (-122.122018 47.678465)
WVWKR7AU7K,King,MEDINA,WA,98039,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,48,292924152,POINT (-122.23458900000001 47.626443)
JTDKARFP2H,Pierce,FOX ISLAND,WA,98333,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,27100,26,240880433,POINT (-122.624654 47.246271)
JN1AZ0CP0B,Kitsap,BAINBRIDGE ISLAND,WA,98110,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,32780,23,126817778,POINT (-122.534497 47.643688)
1G1RD6E41D,King,RENTON,WA,98059,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,39145,5,108584409,POINT (-122.132064 47.494834)
5YJ3E1EA2J,Pierce,TACOMA,WA,98406,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,27,124545984,POINT (-122.50257399999998 47.262788)
1N4AZ1CP1J,King,SEATTLE,WA,98136,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,34,133000185,POINT (-122.38895500000001 47.537382)
5YJXCBE46G,Clark,BRUSH PRAIRIE,WA,98606,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,74000,18,231863061,POINT (-122.46986400000002 45.732426)
5YJSA1CN3D,King,MERCER ISLAND,WA,98040,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41,204329884,POINT (-122.227947 47.565443)
1G1RB6E48E,Snohomish,EVERETT,WA,98201,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,34185,38,149743205,POINT (-122.195157 47.988773)
WMZYU7C57K,King,SEATTLE,WA,98133,2019,MINI,COOPER SE COUNTRYMAN ALL4,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,46,476432701,POINT (-122.343983 47.73996900000001)
5YJSA1E22G,Spokane,SPOKANE,WA,99224,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,6,349565044,POINT (-117.50543600000002 47.633834)
3C3CFFGE9D,King,SEATTLE,WA,98117,2013,FIAT,500E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,31800,36,171958489,POINT (-122.379354 47.687571)
5YJ3E1EA5H,San Juan,FRIDAY HARBOR,WA,98250,2017,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,40,3033628,POINT (-123.084302 48.544106)
WVWKR7AU8H,Clark,VANCOUVER,WA,98664,2017,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,30495,49,107117678,POINT (-122.577964 45.620940000000004)
5YJSA1H15E,King,REDMOND,WA,98052,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,48,302437446,POINT (-122.122018 47.678465)
5YJYGDEEXL,Snohomish,BRIER,WA,98036,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,1,110604308,POINT (-122.28185600000002 47.811678)
1N4AZ0CP3D,Clark,VANCOUVER,WA,98664,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,49,196996649,POINT (-122.577964 45.620940000000004)
1N4AZ1CP1J,King,SEATTLE,WA,98112,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,37,348626988,POINT (-122.296466 47.631708)
5YJ3E1EA5L,King,NEWCASTLE,WA,98059,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,41,125954671,POINT (-122.132064 47.494834)
JTDKARFP4J,King,MERCER ISLAND,WA,98040,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,27300,41,187799797,POINT (-122.227947 47.565443)
5YJ3E1EA5L,King,COVINGTON,WA,98042,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,47,4991878,POINT (-122.11667400000002 47.363112)
JN1AZ0CP0C,King,NEWCASTLE,WA,98056,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,35200,41,6157833,POINT (-122.183961 47.510245)
3FA6P0SU7E,King,SEATTLE,WA,98119,2014,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,34700,36,126081378,POINT (-122.36772100000002 47.639264)
WVWKR7AU3K,King,SEATTLE,WA,98125,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,46,478743100,POINT (-122.303604 47.716244)
1N4AZ1CP0J,King,SAMMAMISH,WA,98075,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,29990,41,345381942,POINT (-122.028168 47.586173)
JN1AZ0CP4B,King,SEATTLE,WA,98124,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,32780,11,198894398,POINT (-122.33 47.61)
3FA6P0SU4H,Whatcom,LUMMI ISLAND,WA,98262,2017,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,33120,42,258404051,POINT (-122.680274 48.710887)
JN1AZ0CP0C,Pierce,TACOMA,WA,98445,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,35200,29,109409898,POINT (-122.41101000000002 47.139771)
5YJ3E1EA8J,Clark,LA CENTER,WA,98629,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,20,133185797,POINT (-122.61763500000002 45.878449)
1N4AZ0CP5F,King,BELLEVUE,WA,98006,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,41,223538794,POINT (-122.151342 47.560192)
5UXKT0C54G,King,BELLEVUE,WA,98006,2016,BMW,X5 XDRIVE40E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,62100,41,170111896,POINT (-122.151342 47.560192)
5YJ3E1EA2K,King,SEATTLE,WA,98103,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,43,318333340,POINT (-122.343577 47.672491)
1N4AZ0CP3D,Snohomish,SNOHOMISH,WA,98290,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,39,109218623,POINT (-122.029605 47.939428)
3FA6P0PU1H,Kittitas,EASTON,WA,98925,2017,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,33120,13,209660384,POINT (-121.17580300000002 47.235387)
3FA6P0SU9E,Spokane,CHENEY,WA,99004,2014,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,34700,9,243860151,POINT (-117.61765699999998 47.449801)
1N4BZ0CP2H,King,BELLEVUE,WA,98008,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,48,193760108,POINT (-122.117365 47.609515)
5YJSA1E49G,King,REDMOND,WA,98052,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,45,130540945,POINT (-122.122018 47.678465)
1G1RD6S53H,Clark,RIDGEFIELD,WA,98642,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,17,196349898,POINT (-122.692143 45.797008)
5YJSA1S14E,King,SEATTLE,WA,98103,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,36,123863085,POINT (-122.343577 47.672491)
1FADP5EU5H,King,REDMOND,WA,98052,2017,FORD,C-MAX ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,27120,48,136429268,POINT (-122.122018 47.678465)
5YJYGDEE9M,King,SEATTLE,WA,98103,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43,139826809,POINT (-122.343577 47.672491)
5YJ3E1EA7L,King,SEATTLE,WA,98125,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,46,9592733,POINT (-122.303604 47.716244)
5YJYGDEE4L,Snohomish,BOTHELL,WA,98012,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,21,110162461,POINT (-122.20151499999999 47.843376)
5YJYGDEE6L,King,SEATTLE,WA,98117,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,36,111534069,POINT (-122.379354 47.687571)
5YJYGDEE7L,King,SEATTLE,WA,98199,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,36,114429353,POINT (-122.399558 47.648651)
JTDKARFP0H,King,ISSAQUAH,WA,98027,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,27100,5,106194574,POINT (-122.010741 47.506838)
1G1RD6S54G,Spokane,SPOKANE,WA,99224,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33170,6,267631402,POINT (-117.50543600000002 47.633834)
1N4AZ0CP5D,Snohomish,EVERETT,WA,98208,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,38,925004,POINT (-122.19615 47.894423)
2C4RC1N75J,King,MERCER ISLAND,WA,98040,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,39995,41,338476932,POINT (-122.227947 47.565443)
5YJ3E1EB2L,King,MEDINA,WA,98039,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,48,126006779,POINT (-122.23458900000001 47.626443)
1N4AZ1CP1K,King,WOODINVILLE,WA,98077,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,45,8924954,POINT (-122.05752200000002 47.749161)
WBY1Z4C58G,Snohomish,EVERETT,WA,98203,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,42400,38,102150086,POINT (-122.227707 47.943014)
5YJ3E1EB4L,Pierce,GIG HARBOR,WA,98332,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,26,4901270,POINT (-122.59945399999998 47.36582)
KNDJX3AE0H,King,RENTON,WA,98058,2017,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,11,293046204,POINT (-122.137386 47.444808)
5YJ3E1EB0L,Thurston,YELM,WA,98597,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,2,107221684,POINT (-122.558621 46.888349)
KMHC65LD4K,Snohomish,EVERETT,WA,98208,2019,HYUNDAI,IONIQ PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,25350,21,109969478,POINT (-122.19615 47.894423)
1N4BZ1CP5K,Skagit,ANACORTES,WA,98221,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,29990,40,321741024,POINT (-122.62841800000001 48.487079)
5YJYGDEE4M,Pierce,TACOMA,WA,98409,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,29,131616425,POINT (-122.480106 47.211446)
5YJSA1H1XE,Snohomish,EVERETT,WA,98208,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,115520667,POINT (-122.19615 47.894423)
1G1RA6S58J,Thurston,TUMWATER,WA,98501,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,34095,22,230925292,POINT (-122.87404199999999 46.998873)
WMEEJ9AA7F,King,SEATTLE,WA,98121,2015,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,68,25000,36,315016089,POINT (-122.34619000000002 47.615293)
5YJSA1E41G,King,SEATTLE,WA,98109,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,36,243834825,POINT (-122.346385 47.630685)
5YJXCBE2XJ,King,MERCER ISLAND,WA,98040,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,79500,41,337287135,POINT (-122.227947 47.565443)
JTDKN3DP3C,Kitsap,INDIANOLA,WA,98342,2012,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,32000,23,133067224,POINT (-122.527513 47.75152)
5YJXCDE27J,King,BELLEVUE,WA,98006,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,79500,41,319868510,POINT (-122.151342 47.560192)
5YJ3E1EA2K,King,NEWCASTLE,WA,98056,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,41,336898768,POINT (-122.183961 47.510245)
5YJ3E1EB7J,King,SAMMAMISH,WA,98074,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,45,474392285,POINT (-122.04272399999999 47.623594)
5YJSA1E24L,Snohomish,EDMONDS,WA,98026,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,0,21,127498038,POINT (-122.33304600000001 47.829439)
1N4BZ0CP6H,Pierce,UNIVERSITY PLACE,WA,98466,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,28,240889169,POINT (-122.53523700000001 47.227719)
WVWKR7AU9K,King,SEATTLE,WA,98103,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,43,319615495,POINT (-122.343577 47.672491)
1G1FX6S09H,King,RENTON,WA,98059,2017,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,37495,5,145310357,POINT (-122.132064 47.494834)
5YJ3E1EA4L,Benton,KENNEWICK,WA,99337,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,8,132443202,POINT (-119.102002 46.147282)
5YJ3E1EB9K,Benton,RICHLAND,WA,99352,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,8,281053867,POINT (-119.285025 46.247465)
5YJSA1H15E,King,SHORELINE,WA,98177,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,32,143887719,POINT (-122.37015900000002 47.743354)
JN1AZ0CP4C,Grays Harbor,HOQUIAM,WA,98550,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,35200,24,277171870,POINT (-123.93950600000001 47.067836)
1N4AZ0CP4D,King,BOTHELL,WA,98011,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,1,167865400,POINT (-122.197147 47.757791)
5YJ3E1EB9J,Pierce,TACOMA,WA,98422,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,27,475380426,POINT (-122.39628600000002 47.293138)
5YJYGDEEXL,Kitsap,POULSBO,WA,98370,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,23,127093494,POINT (-122.63339300000001 47.748427)
5YJXCBE44K,King,ISSAQUAH,WA,98029,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,88000,5,477124511,POINT (-122.014191 47.559121)
5YJ3E1EA3J,King,WOODINVILLE,WA,98077,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,45,475021193,POINT (-122.05752200000002 47.749161)
1N4AZ0CPXF,King,SEATTLE,WA,98104,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,29010,43,171716254,POINT (-122.32861100000001 47.602601)
5YJSA1CG9D,King,SEATTLE,WA,98102,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,43,215554664,POINT (-122.321673 47.634289)
5YJSA1E29G,King,SEATTLE,WA,98109,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,66000,36,1786585,POINT (-122.346385 47.630685)
5YJ3E1EA5L,Spokane,SPOKANE,WA,99223,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,6,114341657,POINT (-117.352803 47.604595)
5YJ3E1EB9J,King,MERCER ISLAND,WA,98040,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,41,473433831,POINT (-122.227947 47.565443)
5YJ3E1EA8K,King,SAMMAMISH,WA,98074,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,45,478043954,POINT (-122.04272399999999 47.623594)
3FA6P0SU3G,Snohomish,EVERETT,WA,98208,2016,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,33900,44,102379273,POINT (-122.19615 47.894423)
1N4BZ0CP6H,King,SEATTLE,WA,98117,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,36,122590261,POINT (-122.379354 47.687571)
5YJSA1H17E,King,BELLEVUE,WA,98006,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,41,166306094,POINT (-122.151342 47.560192)
JN1AZ0CP3C,King,SAMMAMISH,WA,98029,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,35200,5,180400265,POINT (-122.014191 47.559121)
5YJ3E1EB0L,King,SEATTLE,WA,98109,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,36,102163827,POINT (-122.346385 47.630685)
2C4RC1N75K,King,REDMOND,WA,98053,2019,CHRYSLER,PACIFICA HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,39995,45,249136072,POINT (-122.024951 47.670286)
1N4AZ0CP4D,King,SHORELINE,WA,98155,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,46,175725791,POINT (-122.30332400000002 47.756486)
5YJSA1S13E,King,RENTON,WA,98058,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,11,229965186,POINT (-122.137386 47.444808)
5YJ3E1EA4L,Island,FREELAND,WA,98249,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,10,103532033,POINT (-122.539078 48.019041)
