VIN (1-10),County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location
3FA6P0PU2G,Pierce,SPANAWAY,WA,98387,2016,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,33900,28,127335232,POINT (-122.391603 47.067846)
5YJ3E1EA7J,Whatcom,FERNDALE,WA,98248,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,42,150341019,POINT (-122.615152 48.863295)
JHMZC5F34J,King,NEWCASTLE,WA,98056,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,33400,41,280233859,POINT (-122.183961 47.510245)
JN1AZ0CP6B,Island,COUPEVILLE,WA,98239,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,32780,10,340327543,POINT (-122.66309299999999 48.194534)
5YJ3E1EB6L,Snohomish,EDMONDS,WA,98026,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,32,102942584,POINT (-122.33304600000001 47.829439)
5YJ3E1EB9J,King,KIRKLAND,WA,98033,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,45,128595428,POINT (-122.188994 47.678406)
JTDKN3DP1C,Chelan,WENATCHEE,WA,98801,2012,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,32000,12,286455368,POINT (-120.33649899999999 47.425146)
1G1FZ6S02K,King,SEATTLE,WA,98146,2019,CHEVROLET,BOLT,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,36620,34,293004036,POINT (-122.35720600000002 47.501207)
1N4AZ0CP8D,Snohomish,EVERETT,WA,98208,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,28800,21,176938156,POINT (-122.19615 47.894423)
1FADP5CU3D,King,SEATTLE,WA,98144,2013,FORD,C-MAX ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,31665,37,100781117,POINT (-122.30033 47.585339)
5YJYGDEE4L,King,SEATTLE,WA,98106,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,315,0,34,125797675,POINT (-122.35495400000002 47.537664)
1G1RA6S53H,Cowlitz,LONGVIEW,WA,98632,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,33220,19,139868312,POINT (-123.01174600000002 46.173162)
3C3CFFGEXD,King,RENTON,WA,98058,2013,FIAT,500E,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,31800,11,142361299,POINT (-122.137386 47.444808)
1N4BZ0CP0H,King,DUVALL,WA,98019,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,30680,45,307795820,POINT (-121.876276 47.735749)
3FA6P0PU1E,Walla Walla,WALLA WALLA,WA,99362,2014,FORD,FUSION ENERGI,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,34700,16,346357966,POINT (-118.34236600000001 46.081666)
5YJ3E1EB5J,Spokane,SPOKANE,WA,99224,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36000,6,211107522,POINT (-117.50543600000002 47.633834)
5YJ3E1EA9K,Pierce,PUYALLUP,WA,98371,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,35000,25,136928319,POINT (-122.320103 47.197193)
1G1FZ6S07L,Clark,VANCOUVER,WA,98682,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,17,101247989,POINT (-122.508465 45.670446)
