Name,Age,Team,Salary
Lavoy Allen,25,IND,3898692
Leandro Barbosa,32,GSW,3878896
Kentavious Caldwell-Pope,21,DET,3873398
Mario Chalmers,28,MIA,3867282
Carl Landry,31,SAC,3842105
Meyers Leonard,22,POR,3800000
O.J. Mayo,27,MIL,3793693
Greivis Vasquez,28,TOR,3678360
Alan Anderson,32,BRK,3678360
J.J. Barea,30,DAL,3657500
Omri Casspi,26,SAC,3649920
Jeremy Lin,26,LAL,3615000
Otto Porter,21,WAS,3553917
Mike Scott,26,ATL,3500000
Anthony Tolliver,29,TOT,3457149
Arron Afflalo,29,TOT,3445947
Rasual Butler,35,WAS,3396250
Jarrett Jack,31,BRK,3368100
Miles Plumlee,26,TOT,3340920
Hollis Thompson,23,PHI,3333333
Avery Bradley,24,BOS,3326235
Ben McLemore,21,SAC,3326235
Tayshaun Prince,34,TOT,3326235
Dennis Schroder,21,ATL,3315120
Thabo Sefolosha,30,ATL,3283320
Evan Turner,26,BOS,3282056
Jerryd Bayless,26,MIL,3278000
Bojan Bogdanovic,25,BRK,3278000
Trey Burke,22,UTA,3278000
Caron Butler,34,DET,3272091
Jordan Clarkson,22,LAL,3250000
Terrence Ross,23,TOR,3200000
Tony Snell,23,CHI,3150000
Jason Thompson,28,SAC,3146068
Richard Jefferson,34,DAL,3135000
Elfrid Payton,20,ORL,3135000
Pablo Prigioni,37,TOT,3116159
Josh Smith,29,TOT,3075880
Cole Aldrich,26,NYK,3049920
Carlos Boozer,33,LAL,3034356
Nick Collison,34,OKC,3026280
Jordan Hill,27,LAL,3013512
Rodney Hood,22,UTA,3000000
Joe Ingles,27,UTA,3000000
Andre Miller,38,TOT,3000000
Alexey Shved,26,TOT,3000000
Steve Blake,34,POR,2997360
Matt Bonner,34,SAS,2989239
Evan Fournier,22,ORL,2943221
Channing Frye,31,ORL,2915908
Ian Mahinmi,28,IND,2894059
Andre Roberson,23,OKC,2873750
Henry Sims,24,PHI,2793960
Andrew Wiggins,19,MIN,2772480
Derrick Williams,23,SAC,2751260
Mo Williams,32,TOT,2750000
Shabazz Muhammad,22,MIN,2745840
